institution_country_1,institution_name_1,couple_1,couple_2,institution_name_2,institution_country_2,sum_paper
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60105182,"Politeknik Negeri Jakarta, Jl. Prof. Dr. G.A Siwabessy, Kampus Baru UI Depok, Jakarta, Indonesia, 16424",Indonesia,12
United States,"Lamont-Doherty Earth Observatory, 61 Rte. 9W., Palisades, NY, United States, 10964",60033011,60020760,"National Center for Ecological Analysis and Synthesis, 735 State Street, Suite 300, Santa Barbara, CA, United States, 93101-5509",United States,12
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,123079305,"Department of Information System, Jl.H.R Rasuna Said Kav C-22, Kuningan, Jakarta, Indonesia, 12920",Indonesia,11
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,122528432,"Artificial Intelligence Department, Premier Optima Sattiga, Jakarta, Indonesia",Indonesia,11
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,120668492,"Center of Renewable Energy Studies, Jl. Radin Inten II, Pondok Kelapa, East Jakarta, Jakarta, Indonesia, 13450",Indonesia,11
Indonesia,"Universitas Indonesia, Depok, Java, Indonesia, 16424",60069377,113905066,"Department of Information Technology, Kampus Bukit Jimbaran, Kabupaten Badung,, Bali, West Nusa Tenggara, Indonesia",Indonesia,11
Indonesia,"Universitas Indonesia, Depok, Java, Indonesia, 16424",60069377,118495196,"STMIK Bina Insani, Bekasi, Jakarta, West Java, Indonesia",Indonesia,11
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60033011,"Lamont-Doherty Earth Observatory, 61 Rte. 9W., Palisades, NY, United States, 10964",United States,10
Indonesia,"Universitas Indonesia, Depok, Java, Indonesia, 16424",60069377,60000256,"Max Planck Institut für Informatik, Stuhlsatzenhausweg 85, Saarbrucken, Saarland, Germany, 66123",Germany,10
United States,"Wright State University, 3640 Colonel Glenn Hwy, Dayton, OH, United States, 45435-0001",60018306,60033011,"Lamont-Doherty Earth Observatory, 61 Rte. 9W., Palisades, NY, United States, 10964",United States,10
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,119166701,"Program Studi Magister Ilmu Komputer, Jl. Ciledug Raya, Petukangan Utara, Jakarta Selatan, Jakarta, Indonesia",Indonesia,10
United States,"Woods Hole Oceanographic Institution, 266 Woods Hole Road, Woods Hole, MA, United States, 02543-1050",60013609,60082102,"Consortium for Ocean Leadership, Washington, D.C., DC, United States",United States,10
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60019702,"University of Birmingham, Ring Road, Birmingham, West Midlands, United Kingdom, B15 2TT",United Kingdom,10
Indonesia,"Universitas Indonesia, Depok, Java, Indonesia, 16424",60069377,113922700,"Department of Informatics, Semarang, Central Java, Indonesia",Indonesia,10
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60031126,"Tokyo Institute of Technology, 2-12-1 O-Okayama, Tokyo, Tokyo, Japan, 152-8550",Japan,10
Indonesia,"Universitas Indonesia, Depok, Java, Indonesia, 16424",60069377,60105182,"Politeknik Negeri Jakarta, Jl. Prof. Dr. G.A Siwabessy, Kampus Baru UI Depok, Jakarta, Indonesia, 16424",Indonesia,10
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,116582593,"STMIK Jakarta STIandK, Jakarta, Indonesia, 12140",Indonesia,10
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,114616110,"Computer Engineering, Depok, Java, Indonesia, 16424",Indonesia,10
